date,pred
2010-01-01,5.606934655623621
2010-02-01,6.687994680083593
2010-03-01,7.496380754285548
2010-04-01,8.437273251527978
2010-05-01,8.67463535992342
2010-06-01,8.504591050950612
2010-07-01,7.625681368218947
2010-08-01,6.87412893769948
2010-09-01,5.683851329305311
2010-10-01,5.584836747018901
2010-11-01,5.453469688818101
2010-12-01,6.519045198987338
2011-01-01,7.268151775466744
2011-02-01,8.439414470169556
2011-03-01,8.608765497763226
2011-04-01,8.411748814675931
2011-05-01,7.462605789378676
2011-06-01,6.50511564980439
2011-07-01,5.548937389822096
2011-08-01,5.446854243696352
2011-09-01,5.401724165189415
2011-10-01,6.476257639301171
2011-11-01,7.122622347410382
2011-12-01,8.243424994245537
2012-01-01,8.331588797476062
2012-02-01,8.357118860758142
2012-03-01,7.3610831447788865
2012-04-01,6.4110530335217515
2012-05-01,5.42135915165534
2012-06-01,5.1410482208233175
2012-07-01,5.326258459868672
2012-08-01,6.377957514173665
2012-09-01,7.074694083550824
2012-10-01,8.169498782691603
2012-11-01,8.13506957258785
2012-12-01,8.11004923832532
2013-01-01,7.05492941350779
2013-02-01,6.3559752235444975
2013-03-01,5.354939363964178
2013-04-01,5.103696369806097
2013-05-01,5.25696308567718
2013-06-01,6.114182258860157
2013-07-01,7.001943285495296
2013-08-01,8.040335590040758
2013-09-01,8.033805024999438
2013-10-01,7.983143656058681
2013-11-01,6.82915971623214
2013-12-01,6.11469008390881
2014-01-01,5.089780342755229
2014-02-01,5.10439979511411
2014-03-01,5.246348904664573
2014-04-01,6.1108248312041455
2014-05-01,6.933579923188559
2014-06-01,7.748640091954444
2014-07-01,7.908334923426111
2014-08-01,7.803352194778755
2014-09-01,6.6980228678790095
2014-10-01,5.992328875786559
2014-11-01,4.904063134457991
2014-12-01,4.923277830009041
2015-01-01,5.040675478314781
2015-02-01,6.142972281920551
2015-03-01,6.920896752302162
2015-04-01,7.71021722063754
2015-05-01,7.787222335497045
2015-06-01,7.4659619957298275
2015-07-01,6.544899820039588
2015-08-01,5.81992860975344
2015-09-01,4.811647728891957
2015-10-01,4.858150653774337
2015-11-01,4.911474466990785
2015-12-01,5.995980965469142
2016-01-01,6.716225900097477
2016-02-01,7.705557331596675
2016-03-01,7.720586478474563
2016-04-01,7.37690736535267
2016-05-01,6.3976699274748
2016-06-01,5.495235887816195
2016-07-01,4.6986414787507345
2016-08-01,4.7440302770633105
2016-09-01,4.87224972514096
2016-10-01,5.960586429143161
2016-11-01,6.584669091138027
2016-12-01,7.5251754988475446
2017-01-01,7.466701223368437
2017-02-01,7.321929219926109
2017-03-01,6.305254184418334
2017-04-01,5.41448854536067
2017-05-01,4.592210740217491
2017-06-01,4.481051407884325
2017-07-01,4.811794915780952
2017-08-01,5.875733868049868
2017-09-01,6.539442940224453
2017-10-01,7.452936037083804
2017-11-01,7.284403315687687
2017-12-01,7.096553082535656
2018-01-01,6.031673797958663
2018-02-01,5.3684930512594535
2018-03-01,4.540062847851273
2018-04-01,4.455975221009477
2018-05-01,4.756606499508024
2018-06-01,5.643942381638918
2018-07-01,6.472023102371168
2018-08-01,7.331666856562109
2018-09-01,7.186639070092892
2018-10-01,6.977908819337071
2018-11-01,5.829596388605743
2018-12-01,5.157606897701795
2019-01-01,4.311787190757777
2019-02-01,4.464543948580571
2019-03-01,4.753234447135048
2019-04-01,5.642775465480214
2019-05-01,6.4083108818092755
2019-06-01,7.0662562307554575
2019-07-01,7.067510620523617
2019-08-01,6.8125866076688055
2019-09-01,5.7116508840071605
2019-10-01,5.052327441864101
2019-11-01,4.153988381505662
2019-12-01,4.311824584233278
2020-01-01,4.576732421008894
2020-02-01,5.672847251319385
2020-03-01,6.3937843595664745
2020-04-01,7.025328830640589
2020-05-01,6.952344860959263
2020-06-01,6.507758272445825
2020-07-01,5.574449662705967
2020-08-01,4.902860096240084
2020-09-01,4.07894641013087
2020-10-01,4.261834137357796
2020-11-01,4.467816156923659
2020-12-01,5.543875924416504
2021-01-01,6.208888423227589
2021-02-01,7.014293011423806
2021-03-01,6.885578355819359
2021-04-01,6.423292054029769
2021-05-01,5.442705024154809
2021-06-01,4.6185493251040475
2021-07-01,3.985686669855899
2021-08-01,4.168303191838435
2021-09-01,4.438455952102474
2021-10-01,5.513606310133226
2021-11-01,6.088646189885347
2021-12-01,6.847444097888069
2022-01-01,6.6529220542506495
2022-02-01,6.369244927495462
2022-03-01,5.359782859535427
2022-04-01,4.550659770343337
2022-05-01,3.8982856483321546
2022-06-01,3.9426948041105065
2022-07-01,4.390064794192422
2022-08-01,5.439264227488639
2022-09-01,6.044780747601938
2022-10-01,6.776439061903809
2022-11-01,6.483843461756809
2022-12-01,6.164347866613847
2023-01-01,5.11648083986383
2023-02-01,4.51373175880145
2023-03-01,3.8590298342649962
2023-04-01,3.927874129975687
2023-05-01,4.346131541017595
2023-06-01,5.234434886439951
2023-07-01,5.981089955789923
2023-08-01,6.661949158076359
2023-09-01,6.389824212177843
2023-10-01,6.0542813579205506
2023-11-01,4.936789120894144
2023-12-01,4.330772731072899
